Accesion	Lineages	Sublineage 
LC387476.1	LineageII	None
LC387474.1	LineageII	None
LC387472.1	LineageII	None
LC387470.1	LineageII	None
LC387468.1	LineageII	None
MH157037.1	LineageII	None
OQ791510.1	LineageII	None
OQ791509.1	LineageII	None
OQ791508.1	LineageII	None
OQ791507.1	LineageII	None
OQ791506.1	LineageII	None
OQ791505.1	LineageII	None
OQ791503.1	LineageII	None
OQ791501.1	LineageII	None
OQ791500.1	LineageII	None
OQ791499.1	LineageII	None
OQ791498.1	LineageII	None
OQ791497.1	LineageII	None
OQ791496.1	LineageII	None
OQ791495.1	LineageII	None
OQ791494.1	LineageII	None
ON569379.1	LineageII	None
ON569377.1	LineageII	None
ON569375.1	LineageII	None
ON569373.1	LineageII	None
ON569371.1	LineageII	None
ON569369.1	LineageII	None
OL774859.1	LineageII	None
OM140827.1	LineageII	None
MT193283.1	LineageII	None
MT001770.1	LineageII	None
MT001769.1	LineageII	None
MT001768.1	LineageII	None
MT001767.1	LineageII	None
MT001766.1	LineageII	None
MT001765.1	LineageII	None
MT001764.1	LineageII	None
MT001763.1	LineageII	None
MT001762.1	LineageII	None
MT001761.1	LineageII	None
MT001760.1	LineageII	None
MT001759.1	LineageII	None
MT001758.1	LineageII	None
MT001757.1	LineageII	None
MT001756.1	LineageII	None
MT001755.1	LineageII	None
MT001754.1	LineageII	None
MT001753.1	LineageII	None
MT001752.1	LineageII	None
MT001751.1	LineageII	None
MT001750.1	LineageII	None
MT001749.1	LineageII	None
MT001748.1	LineageII	None
MT001747.1	LineageII	None
MT001746.1	LineageII	None
MT001745.1	LineageII	None
MN123709.1	LineageII	None
MN123708.1	LineageII	None
MN123707.1	LineageII	None
MN123706.1	LineageII	None
MN123705.1	LineageII	None
MN123704.1	LineageII	None
MN123703.1	LineageII	None
MN123702.1	LineageII	None
MN123701.1	LineageII	None
MN123700.1	LineageII	None
MN123699.1	LineageII	None
MN123698.1	LineageII	None
MN123697.1	LineageII	None
MG812681.1	LineageII	None
MG812641.1	LineageII	None
MK281631.1	LineageII	None
MK281627.1	LineageII	None
MK281625.1	LineageII	None
MK281624.1	LineageII	None
MK291250.1	LineageII	None
MK291249.1	LineageII	None
MK291248.1	LineageII	None
MK118039.1	LineageII	None
MK118038.1	LineageII	None
MK118037.1	LineageII	None
MK118036.1	LineageII	None
MK118035.1	LineageII	None
MK118033.1	LineageII	None
MK118032.1	LineageII	None
